iter	Passed	Remaining
390	5930	6203
391	5939	6181
392	5948	6160
393	5958	6140
394	5966	6118
395	5975	6096
396	5983	6074
397	5991	6052
398	6000	6030
399	6007	6007
400	6015	5985
401	6024	5964
402	6031	5941
403	6039	5919
404	6047	5898
405	6055	5876
406	6062	5854
407	6072	5834
408	6081	5813
409	6089	5792
410	6098	5771
411	6106	5750
412	6115	5730
413	6125	5711
414	6135	5691
415	6144	5672
416	6153	5651
417	6162	5631
418	6170	5611
419	6181	5592
420	6189	5571
421	6197	5551
422	6204	5529
423	6211	5508
424	6219	5487
425	6225	5465
426	6232	5444
427	6239	5423
428	6247	5403
429	6254	5381
430	6262	5361
431	6269	5341
432	6278	5321
433	6285	5300
434	6293	5280
435	6299	5259
436	6307	5239
437	6314	5218
438	6321	5198
439	6328	5177
440	6337	5159
441	6343	5138
442	6352	5118
443	6359	5099
444	6366	5079
445	6374	5059
446	6381	5039
447	6389	5020
448	6395	4999
449	6403	4980
450	6410	4961
451	6417	4941
452	6424	4921
453	6433	4903
454	6441	4884
455	6448	4864
456	6455	4845
457	6462	4825
458	6470	4807
459	6477	4787
460	6484	4768
461	6492	4749
462	6499	4730
463	6506	4711
464	6514	4693
465	6521	4674
466	6529	4655
467	6537	4637
468	6544	4618
469	6552	4600
470	6559	4581
471	6566	4563
472	6573	4544
473	6580	4525
474	6586	4506
475	6594	4488
476	6602	4470
477	6610	4453
478	6618	4435
479	6625	4417
480	6632	4398
481	6640	4380
482	6646	4362
483	6654	4344
484	6662	4326
485	6669	4309
486	6676	4290
487	6684	4273
488	6691	4255
489	6698	4238
490	6706	4220
491	6715	4204
492	6724	4187
493	6735	4172
494	6745	4156
495	6754	4139
496	6762	4122
497	6772	4106
498	6779	4089
499	6787	4072
500	6798	4057
501	6806	4040
502	6816	4025
503	6825	4008
504	6833	3991
505	6841	3975
506	6850	3959
507	6858	3942
508	6866	3925
509	6874	3908
510	6881	3892
511	6889	3875
512	6897	3858
513	6905	3842
514	6913	3826
515	6922	3809
516	6929	3793
517	6937	3776
518	6945	3760
519	6954	3744
520	6961	3728
521	6969	3711
522	6977	3695
523	6985	3679
524	6993	3663
525	7001	3647
526	7009	3631
527	7019	3615
528	7026	3599
529	7034	3583
530	7042	3567
531	7049	3551
532	7056	3535
533	7065	3519
534	7073	3503
535	7081	3487
536	7089	3472
537	7097	3456
538	7104	3440
539	7111	3424
540	7118	3408
541	7127	3392
542	7134	3376
543	7141	3360
544	7148	3344
545	7155	3328
546	7163	3313
547	7170	3297
548	7178	3281
549	7186	3266
550	7193	3250
551	7201	3235
552	7208	3219
553	7216	3204
554	7223	3188
555	7231	3173
556	7240	3158
557	7247	3143
558	7254	3127
559	7261	3112
560	7269	3096
561	7276	3081
562	7284	3066
563	7292	3051
564	7300	3036
565	7308	3021
566	7315	3006
567	7323	2991
568	7330	2975
569	7337	2960
570	7344	2945
571	7351	2930
572	7360	2915
573	7367	2900
574	7375	2886
575	7383	2871
576	7390	2856
577	7397	2841
578	7406	2827
579	7414	2812
580	7423	2798
581	7430	2783
582	7438	2768
583	7445	2753
584	7452	2738
585	7459	2724
586	7468	2709
587	7475	2695
588	7483	2680
589	7492	2666
590	7501	2652
591	7507	2637
592	7515	2623
593	7522	2608
594	7529	2594
595	7537	2579
596	7544	2565
597	7553	2551
598	7561	2537
599	7568	2522
600	7576	2508
601	7583	2494
602	7591	2480
603	7599	2465
604	7607	2452
605	7616	2438
606	7623	2423
607	7631	2409
608	7639	2395
609	7648	2382
610	7657	2368
611	7663	2354
612	7672	2340
613	7680	2326
614	7687	2312
615	7695	2298
616	7702	2284
617	7710	2270
618	7717	2256
619	7724	2242
620	7732	2228
621	7739	2214
622	7747	2201
623	7755	2187
624	7763	2173
625	7770	2159
626	7778	2146
627	7785	2132
628	7793	2118
629	7800	2104
630	7807	2091
631	7815	2077
632	7823	2063
633	7830	2050
634	7837	2036
635	7844	2022
636	7853	2009
637	7860	1995
638	7868	1982
639	7875	1968
640	7882	1955
641	7890	1941
642	7898	1928
643	7905	1914
644	7913	1901
645	7920	1888
646	7927	1874
647	7935	1861
648	7942	1847
649	7950	1834
650	7957	1821
651	7965	1808
652	7972	1794
653	7980	1781
654	7987	1768
655	7995	1755
656	8002	1741
657	8009	1728
658	8018	1715
659	8027	1702
660	8034	1689
661	8043	1676
662	8051	1663
663	8059	1650
664	8069	1638
665	8078	1625
666	8085	1612
667	8094	1599
668	8102	1586
669	8109	1573
670	8118	1560
671	8125	1547
672	8133	1534
673	8141	1521
674	8148	1508
675	8155	1496
676	8162	1483
677	8169	1470
678	8176	1457
679	8184	1444
680	8191	1431
681	8199	1418
682	8206	1405
683	8214	1393
684	8221	1380
685	8228	1367
686	8235	1354
687	8242	1341
688	8249	1329
689	8257	1316
690	8265	1303
691	8272	1291
692	8281	1278
693	8290	1266
694	8297	1253
695	8305	1241
696	8312	1228
697	8319	1215
698	8327	1203
699	8335	1190
700	8343	1178
701	8350	1165
702	8359	1153
703	8367	1140
704	8374	1128
705	8381	1115
706	8388	1103
707	8396	1091
708	8402	1078
709	8410	1066
710	8418	1053
711	8423	1041
712	8429	1028
713	8436	1016
714	8441	1003
715	8447	991
716	8452	978
717	8458	965
718	8465	953
719	8471	941
720	8477	928
721	8482	916
722	8488	904
723	8493	891
724	8499	879
725	8504	866
726	8509	854
727	8515	842
728	8521	829
729	8527	817
730	8533	805
731	8539	793
732	8544	781
733	8550	768
734	8555	756
735	8561	744
736	8567	732
737	8573	720
738	8579	708
739	8584	696
740	8590	684
741	8596	671
742	8601	659
743	8607	647
744	8612	635
745	8617	623
746	8623	611
747	8628	599
748	8634	587
749	8640	576
750	8645	564
751	8650	552
752	8655	540
753	8661	528
754	8666	516
755	8672	504
756	8677	492
757	8683	481
758	8688	469
759	8694	457
760	8700	445
761	8705	434
762	8711	422
763	8716	410
764	8722	399
765	8728	387
766	8733	375
767	8738	364
768	8743	352
769	8747	340
770	8752	329
771	8757	317
772	8762	306
773	8768	294
774	8773	283
775	8778	271
776	8782	259
777	8786	248
778	8790	236
779	8794	225
780	8799	214
781	8804	202
782	8808	191
783	8813	179
784	8817	168
785	8821	157
786	8826	145
787	8831	134
788	8835	123
789	8839	111
790	8844	100
791	8848	89
792	8853	78
793	8858	66
794	8862	55
795	8866	44
796	8870	33
797	8874	22
798	8877	11
799	8881	0
