iter	Logloss
0	0.6765038452
1	0.6570993408
2	0.6408392743
3	0.621217345
44	0.5780507835	5	0.56492183766	0.5488800381777	0.52920700988	0.5202539009	9	0.5054769178
10	0.4887143873
11	0.474408873
12	0.4617322685
13	0.4510365295
14	0.443449773
15	0.4341797054
16	0.4237634738
17	0.4152123914
18	0.4064198305
19	0.3985279226
20	0.3901994378
21	0.3832886504
22	0.3767714936
23	0.3677507244
24	0.361141659
25	0.3548839535
26	0.3489398486
27	0.3423852649
28	0.3365133915
29	0.3323274283
30	0.3263356253
31	0.321541435
32	0.3167073641
33	0.3127564991
34	0.3087555171
35	0.3027626035
3636	0.295452867337	0.290919672738	0.2900843927
39	0.2868287192
40	0.2827574121
441	0.2745944854442	0.2707007674343	0.2674982994444	0.2647277264545	0.2617178074646	0.258696165447	0.2560051952448	0.2534850194949	0.250929868
50	0.2476561494551	0.2451239318552	0.2424474599553	0.2392584894554	0.2369263371555	0.2348534124556	0.2332875658557	0.2310128006558	0.2289518294559	0.2264221037660	0.2236624729661	0.2219956216262	0.22043233863	0.2237835656
6464	0.2157989906565	0.2142662466666	0.21179182067	0.2166690842
68	0.2136439858
69	0.2115265315
70	0.2102069911
71	0.2086216567
7272	0.2012002787373	0.1993989874	74	0.1980066375	75	0.1961929876	76	0.1942997577	0.1987844244
78	0.197117601
79	0.1958986231
80	0.1943961009
81	0.1927526985
82	0.1915283171
83	0.1900510984
84	0.188547333
85	0.1871716339
86	0.1859972197
87	0.184914717
88	088	0.178397889	0.1826324575
90	0.1806036055
91	0.1796962504
92	0.1784879392
93	0.1774346103
94	0.1765019279
95	0.1758447975
96	0.174665672
97	0.1734711739
98	0.1722854188
99	0.1708442252
100	0.1698749959
101	0.1689288667
102	0.1677618643
103	0.1668975594
104	0.166149789
105	105	0.1589202106	106	0.1576860107	0.1630054003
108	0.1620006814
109	0.1609503112
110	0.159986471
111	0.1588549118
112	0.1575357367
113	0.1563666766
114	0.155600329
115	0.154262272
116	0.1532140044
117	0.1522350822
118	0.1509747028
119	0.1500159441
120	0.1489362221
121	0.1480697711
122	0.1470966502
123	0.1462302464
124	0.1458167803
125	0.1447303707
126	0.1438687092
127	0.1427367946
128	0.1420370043
129	0.14139494
130	0.1405114071
131	0.1396872274
132	0.1392571705
133	0.1383589347
134	0.1377500192
135	0.1371174651
136	0.1364594248
137	0.1360274525
138	0.1354381252
139	0.1346855311
140	0.1339008913
141	0.1330438465
142	0.1323328004
143	0.1316516436
144	0.1310078826
145	0.129713124
146	0.1289180149
147	0.1283522988
148	0.1273066297
149	0.12663554661150	0.12617310711151	0.12544281091152	0.124946152
153	0.1244568314
154	0.1238327943
155	0.1232486466
156	0.1225822639
157	0.1219571165
158	0.1213875485
159	0.1210006678
160	0.12046206821161	0.11987623411162	0.119284296
163	0.1186312529
164	0.110923304
165	0.1101502487
166	0.1094724052
167	0.1085438257
168	0.108011024
169	0.1073372946
170	0.1068114698
171	0.1061096304
172	0.1055200642
173	0.1049061055
174	0.1041286467
175	0.1036861553
176	0.1030944051
177	0.1024862805
178	0.1020117403
179	0.1015026297
180	0.1006475448
181	0.09982267841
182	0.09927524134
183	0.098903019751184	0.098416937185	0.1066313749
186186	0.09695998187	0.1057977782
188	0.1053244097
189	0.1047273703
190	0.1042700531
191	0.103798779
192	0.1034194578
193	0.1028172306
194	0.1022019014
195	0.1015773789
196	0.1011028465
197	0.1003846009
198	0.09982356699
199	0.0994856146
200	0.09925401443
201	0.09898923649
202	0.09835738966
203	0.09770046486
204	0.09749147697
205	0.09728537559
206	0.09691226805
207	0.09634413169
208	0.09580113257
209	0.09520041046
210	0.0950428055
211	0.09465597226
212	0.09428353906
213	0.09377815103
214	0.09352792267
215	0.09311548493
216	0.09272365518
217	0.0922481659
218	0.09176775659
219	0.09133508361
220	0.09088213436
221	0.09035893456
222	0.09006344416
223	0.08963339176
224	0.08921555655
225	0.08876393472
226	0.08819072093
227	0.08801619017
228	0.08753317559
229	0.08701073448
230	0.08668509078
231	0.08626663352
232	0.08590854796
233	0.08548954192
234	0.08509440434
235	0.08457846744
236	0.08414325116
237	0.08367583375
238	0.08323041685
239	0.082876623023240	0.082380563324241	0.082011699324242	0.08173039548
243	0.081324716024244	0.080654406244245	0.080230247245246	0.079990979246247	0.07968972324248	0.079316759824249	0.079083606724250	0.07870049625251	0.078293746125252	0.078097746252253	0.07775748325254	0.0773513084254	0.07073932931
255	0.07039231198
256	0.06993034827
257	0.0696140305
258	0.06927000076
259	0.06888287892
260	0.06851199695
261	0.06831071927
262	0.06788359289
263	0.06758775896
264	0.06714668097
265	0.06685743892
266	0.06652843499
267	0.06624731409
268	0.06582682655
269	0.0653339051
270	0.06494539286
271	0.06472068022
272	0.06437603539
273	0.063935098062274	0.063678596752275	0.063173033482276	0.062893748382277	0.062433353242278	0.062167692272279	0.061778492782280	0.061490066762281	0.061214199728282	0.060755240284283	0.060536467285284	0.060173375286285	0.059818195287286	0.05955195288	287	0.0592293289	0288	0.05893690628
289	0.05874316126
290	0.05841454891
291	0.05811807067
292	0.05798761036
293	0.0575808594
294	0.05742767617
295	0.05707858522
296	0.05690361661
297	0.05661186684
298	0.05642960843
299	0.0562810924
300	0.05595355546
301	0.05563027397
302	0.05552308134
303	0.05529976113
304	0.05486832326
305	0.05451363038
306	0.05424577164
307	0.05386606778
308	0.05354943199
309	0.05330815743
310	0.05306050239
311	0.05278633413
312	0.05254983056
313	0.05220443801
314	0.0520785528
315	0.05182534965
316	0.05150335458
317	0.05125083706
318	0.05090156795
319	0.05066270598
320	0.05038417867
321	0.05002734063
322	0.04986929773
323	0.04953685254
324	0.0494208219
325	0.04903980523
326	0.04874332437
327	0.04853450456
328	0.04834721679
329	0.04808371488
330	0.04795738266
331	0.04776936271
332	0.04750660488
333	0.04728727248
334	0.04704668476
335	0.04696221122
336	0.04683185208
337	0.04658512211
338	0.04631538786
339	0.04610625627
340	0.04585559612
341	0.04568713334
342	0.04545221385
343	0.0452225438
344	0.04506103466
345	0.04480756226
346	0.04454925115
347	0.0443009649
348	0.04407885391
349	0.0438351	0.04350	0.0435352	0.04351	0.0433353	0.0352	0.04320354	0.0353	0.04298355	0.0354	0.04281356	0.0355	0.04261357	0.0356	0.04249358	0.0357	0.04228359	0.0358	0.04203360	0.0359	0.04191361	0.360	0.041703362	0.361	0.041550363	0.362	0.041262364	0.363	0.041039365	0.364	0.040870366	0.365	0.040682367	0.366	0.040461368	0.367	0.040282369	0.368	0.04012370	0.0369	0.03995371	0.0370	0.03982372	0.0371	0.03968373	0.04336142036
374	0.0373	0.03941375	0.0374	0.03913376	0.0375	0.03893377	0.0376	0.03873378	0.0377	0.0384379	0.04378	0.0382380	0.04379	0.0381381	0.04380	0.037382	0.041381	0.037383	0.041382	0.037384	0.041383	0.037385	0.041384	0.037386	0.041385	0.037387	0.040386	0.03388	0.040387	0.036389	0.040388	0.036390	0.04389	0.0364391	0.04390	0.0363392	0.04391	0.0360393	0.04392	0.0358394	0.03393	0.03561153759
394	0.035396	0.039395	0.035397	0.039396	0.03517956343
397	0.03502800983
398	0.03485639601
399	0.03471037783
400	0.03451333929
401	0.03438635147
402	0.03421378599
403	0.03400865089
404	0.03385940771
405	0.03372961449
406	0.03364431264
407	0.03351027101
408	0.03334983768
409	0.03325681896
410	0.03311580898
411	0.03291749551
412	0.0327716563
413	0.03260349724
414	0.03248303277
415	0.0323579918
416	0.03215914627
417	0.03199438392
418	0.03182343518
419	0.03167915989
420	0.03157367972
421	0.03148801833
422	0.03130609588
423	0.03118053293
424	0.03102913773
425	0.03091944463
426	0.03083962378
427	0.03066560039
428	0.03057976043
429	0.03035133931
430	0.03020990933
431	0.03002740484
432	0.02977901904
433	0.02961038435
434	0.02945068945
435	0.02930565074
436	0.02919247023
437	0.02902677638
438	0.02887600958
439	0.02881103517
440	0.02869408632
441	0.02865107424
442	0.444	0.031791443	0.02833205245
444	0446	0.0314852445	0.02808029412
446	0448	0.0311784447	0449	0.0309907448	0450	0.0309181449	0451	0.0307663450	0452	0.0306642451	0453	0.0305923452	0454	0.0304571453	0.02717184275
454	0.02704138083
455	0.02691403709
456	0.02678830041
457	0.02661142889
458	0.02654521423
459	0.02644049426
460	0462	0.0295595461	0.02617811169
462	0.02604925965
463	0.0258983945
464	0.02583230358
465	0467	0.0291038466	0468	0.0290121467	0469	0.0289054468	0470	0.0288075469	0471	0.0287848470	0472	0.0286795471	0473	0.0285314472	0474	0.0283963473475	0.028331887474476	0.028291379475477	0.02816736947478	0.028074403947479	0.027930972547480	0.027812891247481	0.027689487748482	0.027630040148483	0.027487838482484	0.027389033483485	0.027227914484486	0.027095384485487	0.026985428486488	0.02687462848489	0.026802350348490	0.026662905348491	0.026508424249492	0.026416208449493	0.026384924749494	0.026248038449495	0.026126658494496	0.025992736495497	0.025876825496498	0.025758748497499	0.025616524498500	0.025448288499501	0.025361986500502	0.025241128501503	0.025137826502504	0.025059123503505	0.02496527850506	0.024925819450507	0.024818126750508	0.024703645950509	0.024644741250510	0.024538645150511	0.02447776465512	0.024362623545513	0.024311386525514	0.024221236851515	0.024140412514516	0.024045316515517	0.023917285516518	0.023828831517519	0.023773926518	0.0209695783
519	0.02094467515
520	0.02089779597
521	0.02079734133
522	0.02073019839
